书籍类别,书籍名称,作者,出版社,出版年份
专著-植被,森林生态系系统自然保护区考察表,南京大学生物学系,江苏省农林厅林业局,1986
教材教辅,山地垂直带信息图谱研究,张百平，谭靖，姚永慧 [等],中国环境科学出版社,2009
校园植物类,山东大学威海校园植物,赵宏,河南科学技术出版社,2016
专著-植被,山东森林,《山东森林》编辑委员会,中国林业出版社,1986
专著-植被,山西植被志——针叶林卷,郭东罡,科学出版社,2014
专著-植被,陕西化龙山自然保护区综合科学考察报告,王玛丽,西安地图出版社,2004
专著-植被,陕西米仓山自然保护区综合科学考察报告,任毅，温战强，李刚,科学出版社,2008
专著-植被,陕西森林,陕西森林编辑委员会,陕西科学技术出版社、中国林业出版社,1989
专著-植被,陕西省植被志,陕西省地方志编篡委员会,西安地图出版社,2011
专著-植被,陕西天华山自然保护区综合科学考察与研究,李战刚,陕西科学技术出版社,2005
专著-植被,陕西周至国家级自然保护区生物多样性研究与保护,陕西省动物研究所,陕西科学技术出版社,2013
教材教辅,生态学（第二版）,杨持,高等教育出版社,2008
教材教辅,生态学——从个体到生态系统（第四版）,"Michael Begon，Colin R. Townsend，John L. Harper 编著
李博，张大勇，王德华 译",高等教育出版社,2016
教材教辅,生态学的现状与发展趋势,于振良 [主编],高等教育出版社,2016
统计类图书,生态学数据分析——方法、程序与软件,郭水良，于晶，陈国奇,科学出版社,2015
教材教辅,生物进化学,"Douglas J. Futuyma 编著
葛颂 等译",高等教育出版社,2016
专著-自然地理,世界裸子植物的分类和地理分布,杨永，王志恒，徐晓婷,上海科学技术出版社,2017
博物·科普,树的秘密生活,"(英)科林·塔奇 编著
姚玉枝，彭文，张海云译",商务印书馆,2017
校园植物类,树说集大之美,陈茂才,厦门大学出版社,2013
统计类图书,数量生态学——R语言的应用（第二版）,"Daniel Borcard，Fran?ois Gillet，Pierre Legendre 编著
赖江山 译",高等教育出版社,2010
专著-植被,双柏哀牢山自然保护区森林和植物资源,曾觉民,云南教育出版社,2016
教材教辅,水文学,管华,科学出版社,2010
专著-植被,四川白羊自然保护区综合科学考察,李操,四川科学技术出版社,2010
专著-植被,四川森林,《四川森林》编辑委员会,中国林业出版社,1992
专著-植被,四川小寨子沟国家级自然保护区综合科学考察报告,胡进耀,中国林业出版社,2015
博物·科普,素眼观蝶,董立坤，朱小明,湖北科学技术出版社,2017
教材教辅,苔藓植物对环境的指示与响应,曹同,科学出版社,2014
博物·科普,探寻自然的秩序：从林奈到E.O.威尔逊的博物学传统,"(美)Paul Laurence Dunbar 编著
杨莎 译   ",商务印书馆,2017
专著,天目山动物志（第八卷）,"吴鸿 [等]总主编?
杨定 等]卷主编",浙江大学出版社,2016
专著,天目山动物志（第九卷）,"吴鸿 [等]总主编??
杨定 等]卷主编",浙江大学出版社,2016
专著,天目山动物志（第三卷）,"吴鸿 [等]总主编
尹文英，周文豹，石福明 卷主编",浙江大学出版社,2014
专著,天目山动物志（第四卷）,"吴鸿[等]总主编
张雅林 卷主编",浙江大学出版社,2017
专著,天目山动物志（第五卷）,孙长海,浙江大学出版社,2016
专著,天目山动物志（第一卷）,"吴鸿[等]总主编
陈德牛，杨潼，吴小平 卷主编",浙江大学出版社,2014
专著,天目山植被格局、过程和动态,江洪，楼涛,上海交通大学出版社,2016
教材教辅,天目山植物学野外实习指导,李宏庆 [等],华东师范大学出版社,2017
专著-植被,天目山自然保护区自然资源综合考察报告,贵州省环境保护局,浙江科学技术出版社,1992
校园植物类,天水师范学院校园校园植物手册,王弋博,甘肃少年儿童出版社,2009
统计类图书,统计之美：人工智能时代的科学思维,李舰，海恩,电子工业出版社,2019
博物·科普,图解本草纲目,(明)李时珍原著??《图解经典》编辑部编绘,江西科学技术出版社,2014
教材教辅,土壤地理学（第三版）,李天杰 [等],高等教育出版社,2004
专著-植被,驮娘江自然保护区,吴霞，施永宏,云南民族出版社,2012
专著-植被,瓦屋山自然保护风景名胜区综合考察及开发研究,陈兴中,成都地图出版社,1991
校园植物类,望江芳华——四川大学校园植物图谱,白洁,高等教育出版社,2016
博物·科普,伟大的博物学家,(英)Robert Huxley  ,商务印书馆,2014
校园植物类,文瀛草木鉴赏,张带平 [等],山西科学技术出版社,2012
博物·科普,我们之间的化学反应,"(美)Larry Young，Brian Alexander 编著?
苏琴，童心 译",西南师范大学出版社,2016
专著-植被,卧龙植被及资源植物,卧龙自然保护区管理局/南充师范学院 等,四川科学技术出版社,1987
专著-植被,无量山国家级自然保护区,喻庆国 [等],云南科技出版社,2004
专著-植被,西部季风常绿阔叶林恢复生态学,苏建荣，刘万德，李帅锋,科学出版社,2015
专著-植被,西双版纳国家级自然保护区,王战强，熊云翔主编,云南教育出版社,2006
专著-植被,小黑山自然保护区,喻庆国 [等],云南科技出版社,2006
专著-植被,新疆森林,陆平,新疆人民出版社,1989
博物·科普,性、植物学与帝国 林奈与班克斯,(英)Patricia Fara [等],商务印书馆,2017
专著-植被,亚热带次生林群落结构与土壤特征,项文化，方晰,科学出版社,2018
校园植物类,燕园草木,许智宏，顾红雅,北京大学出版社,2012
校园植物类,燕园草木补,刘华杰,中国科学技术出版社,2015
教材教辅,遥感导论,梅安新 [等],高等教育出版社,2001
教材教辅,遥感监测绿皮书 中国可持续发展遥感监测报告,顾行发，李闽榕，徐东华,社会科学文献出版社,2017
教材教辅,遥感图像分析与空间数据挖掘,周坚华,上海科技教育出版社,2010
教材教辅,遥感原理与应用,孙家抦,武汉大学出版社,2013
博物·科普,一只萤火虫的旅行,付新华,重庆出版社,2016
博物·科普,一座垂直的森林,Stefano Boeri,同济大学出版社,2016
博物·科普,银杏---被时间遗忘的树种,Peter Crane 胡永红 张庆费 译,高等教育出版社,2016
博物·科普,萤火虫在中国,付新华,湖南人民出版社,2014
统计类图书,应用非参数统计方法（注视版·原书第四版）,"Peter Sprent, Nigel C.Smeeton",机械工业出版社,2014
专著-植被,永德大雪山种子植物区系和森林植被研究,刘恩德，彭华,云南科技出版社,2010
专著-植被,云南哀牢山森林生态系统研究,中国科学院昆明分院生态研究室,云南科技出版社,1987
专著-植被,云南哀牢山森林生态系统研究论文集（上、下册）,中国科学院云南分院生态研究室,中国科学院云南分院生态研究室,1998
专著-植被,云南大学学报（云南丽江玉龙山植被调查 1957年第4期）,云南大学,云南大学出版社,1957
专著-植被,云南红河阿姆山自然保护区生物多样性保护研究,张国学,中国林业出版社,2017
专著-植被,云南轿子山国家自然保护区,彭华，刘恩德,中国林业出版社,2015
专著-植被,云南森林,中华人民共和国林业部,云南科技出版社、中国林业出版社,1986
博物·科普,怎样观察一棵树：深寻常见树木的非凡秘密,"(美) Nancy Ross Hugo，(美)Robert Llewellyn
阿黛 译",商务印书馆,2016
专著,长白山植物名录,中国科学院长白山森林生态系统定位站,中国科学院长白山森林生态系统定位站,1982
教材教辅,长江流域生态系统评估,王维 [等],科学出版社,2017
校园植物类,浙江大学紫金港植物原色图谱,邱英雄，赵云鹏，李攀,浙江大学出版社,2016
专著-植被,浙江森林,中华人民共和国林业部,中国林业出版社,1993
博物·科普,浙江天目山观花手册,刘军，李敏,化学工业出版社,2018
